species,phylo,minrep,averep,typmort,maxmort,wd
,gymnosperm,20,30,400,590,0.35
,gymnosperm,15,30,125,150,0.34
,gymnosperm,30,40,150,500,0.35
,gymnosperm,20,40,125,170,
,gymnosperm,20,30,200,400,
,gymnosperm,15,25,150,250,0.31
,gymnosperm,35,45,250,400,0.37
,gymnosperm,50,60,400,650,
,gymnosperm,8,20,500,,0.4
,gymnosperm,,,1000,3500,0.42
,gymnosperm,7,20,200,,0.31
,gymnosperm,,,100,300,
,gymnosperm,,,300,500,0.48
,gymnosperm,,,300,900,
,gymnosperm,,,650,800,
,gymnosperm,10,50,250,300,
,gymnosperm,10,25,150,300,0.44
,gymnosperm,20,45,150,180,0.49
,gymnosperm,25,40,700,915,0.48
,gymnosperm,,,500,550,0.35
,gymnosperm,16,25,450,550,0.31
,gymnosperm,10,20,150,350,0.37
,gymnosperm,10,18,150,250,0.43
,gymnosperm,20,50,150,350,
,gymnosperm,15,30,200,300,0.41
,gymnosperm,20,40,500,800,0.42
,gymnosperm,5,,100,150,
,gymnosperm,5,25,80,150,0.46
,gymnosperm,5,35,60,,0.45
,gymnosperm,5,20,120,300,0.43
,gymnosperm,8,20,200,300,0.54
,gymnosperm,25,75,350,540,0.57
,gymnosperm,10,20,150,250,0.66
,gymnosperm,10,30,200,400,0.42
,gymnosperm,10,,75,150,
,gymnosperm,8,,400,500,0.42
,gymnosperm,7,100,400,600,0.38
,gymnosperm,20,25,150,225,
,gymnosperm,10,40,400,615,0.42
,gymnosperm,16,28,300,400,0.62
,gymnosperm,5,16,600,726,0.42
,gymnosperm,4,20,85,150,
,gymnosperm,22,55,200,300,0.51
,gymnosperm,8,12,100,200,0.52
,gymnosperm,6,,80,150,
,gymnosperm,4,30,,,0.5
,gymnosperm,10,22,200,450,0.37
,gymnosperm,6,15,100,300,0.54
,gymnosperm,5,50,100,200,
,gymnosperm,10,25,750,1200,0.51
,gymnosperm,20,100,2000,3000,
,gymnosperm,20,60,1250,2200,0.42
,gymnosperm,20,,600,1200,0.42
,gymnosperm,,,250,350,0.67
,gymnosperm,20,30,300,400,0.32
,gymnosperm,15,25,1000,1200,0.34
,gymnosperm,20,50,450,800,0.43
,gymnosperm,20,30,400,600,0.44
,gymnosperm,20,30,400,800,0.51
,angiosperm,10,20,150,300,0.44
,angiosperm,,,75,100,
,angiosperm,4,,80,150,0.49
,angiosperm,20,40,,125,0.44
,angiosperm,40,60,300,400,0.56
,angiosperm,8,,,,
,angiosperm,,,60,80,0.33
,angiosperm,8,10,60,100,0.37
,angiosperm,5,,,,0.58
,angiosperm,,40,150,300,0.55
,angiosperm,,40,150,250,0.6
,angiosperm,15,40,100,140,0.48
,angiosperm,8,,50,,0.45
,angiosperm,,30,175,200,0.6
,angiosperm,,30,200,300,0.66
,angiosperm,20,75,300,,0.6
,angiosperm,40,75,350,,
,angiosperm,,40,250,300,0.64
,angiosperm,,25,200,300,0.64
,angiosperm,,,100,300,0.4
,angiosperm,,,200,400,0.42
,angiosperm,10,20,100,,0.38
,angiosperm,15,30,,,0.47
,angiosperm,,,150,200,0.49
,angiosperm,5,,125,,0.64
,angiosperm,,10,125,,0.58
,angiosperm,10,25,60,80,0.6
,angiosperm,40,60,300,400,0.56
,angiosperm,20,37,260,300,0.55
,angiosperm,,,150,250,0.5
,angiosperm,,,,,0.45
,angiosperm,,,,,0.53
,angiosperm,,25,200,300,0.53
,angiosperm,10,,120,,0.6
,angiosperm,5,,100,150,0.5
,angiosperm,20,,75,,0.36
,angiosperm,8,12,150,250,0.51
,angiosperm,20,30,200,300,0.44
,angiosperm,15,20,200,250,0.38
,angiosperm,30,40,200,300,
,angiosperm,10,,75,100,0.76
,angiosperm,30,,80,250,0.44
,angiosperm,10,20,80,120,0.46
,angiosperm,10,,125,,
,angiosperm,5,30,,,0.46
,angiosperm,,,,,0.46
,angiosperm,,25,,,0.6
,angiosperm,25,50,250,500,0.46
,angiosperm,9,,100,150,0.3
,angiosperm,10,,60,100,0.37
,angiosperm,15,30,70,,0.35
,angiosperm,10,,50,90,
,angiosperm,5,20,70,200,
,angiosperm,10,,150,250,0.32
,angiosperm,10,15,100,250,0.47
,angiosperm,15,,150,,
,angiosperm,20,50,300,600,0.6
,angiosperm,35,75,300,,0.64
,angiosperm,,,200,300,0.7
,angiosperm,20,,50,,0.6
,angiosperm,25,50,200,275,0.52
,angiosperm,,,90,120,0.62
,angiosperm,,,,500,0.64
,angiosperm,30,,175,300,0.51
,angiosperm,15,20,,,0.56
,angiosperm,,,200,300,
,angiosperm,25,,300,400,
,angiosperm,35,,200,400,0.58
,angiosperm,,,100,,
,angiosperm,20,40,100,200,0.6
,angiosperm,20,25,175,,0.56
,angiosperm,15,25,100,150,0.58
,angiosperm,20,,,,0.56
,angiosperm,20,,300,400,0.57
,angiosperm,25,50,200,400,0.56
,angiosperm,25,,250,,0.6
,angiosperm,20,40,100,200,0.56
,angiosperm,,,200,300,0.81
,angiosperm,5,,40,50,
,angiosperm,6,15,60,100,0.66
,angiosperm,10,25,70,85,0.34
,angiosperm,10,25,100,500,0.42
,angiosperm,15,,100,140,0.32
,angiosperm,15,,100,,
,angiosperm,15,40,175,300,0.46
,angiosperm,15,25,200,300,0.48
,angiosperm,20,45,250,300,0.57
,angiosperm,30,40,200,,0.51
,angiosperm,3,3,50,50,
,angiosperm,3,3,20,20,
,angiosperm,2,2,18,18,
,angiosperm,2,2,15,15,
,angiosperm,5,5,40,40,
,angiosperm,10,10,100,100,
,angiosperm,5,5,30,30,
,angiosperm,3.5,3.5,50,50,
,angiosperm,2,2,43,43,
,angiosperm,2,2,28,28,
,angiosperm,2,2,15,15,